"","siteid","sitename","plotid","easting","northing","taxonid","scientificname","indvidualid","pointid","individualdistance","individualazimuth","dbh","dbhheight","basalcanopydiam","basalcanopydiam_90deg","maxcanopydiam","canopydiam_90deg","stemheight","stemremarks","stemstatus","canopyform","livingcanopy","inplotcanopy","materialsampleid","dbhqf","stemmapqf"
"62","SOAP","Soaproot Saddle","SOAP1563",297694.4,4101214.5,"ARVI4","Arctostaphylos viscida",30,"center",11.5,220.4,0,0,90,42,1.8,2,1.4,"hemi 100 dead","dead snag",NA,NA,NA,NA,0,0
"63","SOAP","Soaproot Saddle","SOAP143",299839,4100411,"ARVI4","Arctostaphylos viscida",1146,"center",9,211.6,2.5,10,0,0,0.6,0.5,0.8,"","","Hemisphere",100,100,"",0,0
"64","SOAP","Soaproot Saddle","SOAP1343",299605,4100970,"ARVI4","Arctostaphylos viscida",775,"center",7.8,102.9,NA,130,58,21,4.2,2.2,1.9,"3 stems","","Hemisphere",65,100,"",0,0
"65","SOAP","Soaproot Saddle","SOAP1695",299170.9,4100970.5,"ARVI4","Arctostaphylos viscida",158,"center",10.3,307.1,NA,130,18,28,2.2,1.9,2,"","","Sphere",90,100,"",0,0
"66","SOAP","Soaproot Saddle","SOAP143",299848.7,4100421.5,"ARVI4","Arctostaphylos viscida",1189,"center",5.8,60.2,NA,130,8,4,1.2,0.6,1.2,"","","Cone",95,100,"",0,0
"67","SOAP","Soaproot Saddle","SOAP1611",297440,4100578,"ARVI4","Arctostaphylos viscida",70,"center",6.1,311.5,0,0,1.1,0.4,4.1,3,1.3,"hemi 60 live","old and gnarly",NA,NA,NA,NA,0,0
"68","SOAP","Soaproot Saddle","SOAP1563",297707.3,4101219.5,"ARVI4","Arctostaphylos viscida",37,"center",6.6,123.8,0,0,13,8,0.5,0,0.5,"cone 0 dead","",NA,NA,NA,NA,0,0
"69","SOAP","Soaproot Saddle","SOAP1515",297514.3,4101259.8,"ARVI4","Arctostaphylos viscida",10,"center",6.4,69.2,16.6,1,18,16,2.5,2.2,1.5,"1 stem","","Hemisphere",90,100,"",0,0
"70","SOAP","Soaproot Saddle","SOAP1695",299188.5,4100970.5,"ARVI4","Arctostaphylos viscida",121,"center",11.2,56.9,NA,130,59,24,2.9,4,4.2,"","","Hemisphere",75,80,"",0,0
"71","SOAP","Soaproot Saddle","SOAP1563",297696.8,4101231,"ARVI4","Arctostaphylos viscida",43,"NW",5,114,0,0,4,8,1.4,1,0.9,"cone 90dead","sick",NA,NA,NA,NA,0,0
"72","SOAP","Soaproot Saddle","SOAP255",300147.6,4101386.5,"ARVI4","Arctostaphylos viscida",1296,"center",9.1,25.1,NA,130,21,10,3,2,0.8,"2 stems","long dead","Hemisphere",0,100,"",0,0
"73","SOAP","Soaproot Saddle","SOAP143",299833.8,4100413.5,"ARVI4","Arctostaphylos viscida",132,"center",11.1,242.5,3.7,10,0,0,0.8,0.7,1.5,"","","Hemisphere",100,100,"",0,0
"74","SOAP","Soaproot Saddle","SOAP1695",299174.7,4100970.2,"ARVI4","Arctostaphylos viscida",154,"center",7.4,323.2,NA,130,27,29,46,3.5,2.5,"","","Sphere",70,100,"",0,0
"75","SOAP","Soaproot Saddle","SOAP255",300139.8,4101377.5,"ARVI4","Arctostaphylos viscida",1244,"center",4,257.6,NA,130,20,18,3,2.9,1.5,"4 stems","long dead","Hemisphere",0,100,"",0,0
"76","SOAP","Soaproot Saddle","SOAP1695",299169.7,4100968.5,"ARVI4","Arctostaphylos viscida",180,"NW",6.3,177.2,NA,130,14,26,2.8,2,2.8,"","","Cone",80,100,"",0,0
"77","SOAP","Soaproot Saddle","SOAP1515",297514.5,4101249,"ARVI4","Arctostaphylos viscida",7,"center",10.5,144.2,12.5,3,43,23,1.9,1.5,1.7,"1 stem","","Cone",80,100,"",0,0
"78","SOAP","Soaproot Saddle","SOAP1515",297508.4,4101260,"ARVI4","Arctostaphylos viscida",20,"center",2.7,1.5,20.5,1,21,19,3.1,2.9,2,"","1 stem","Hemisphere",95,100,"",0,0
"79","SOAP","Soaproot Saddle","SOAP143",299851.3,4100422.8,"ARVI4","Arctostaphylos viscida",1205,"center",8.7,61.4,3.4,10,0,0,0.9,0.8,2.1,"","","Cone",90,100,"",0,0
"80","SOAP","Soaproot Saddle","SOAP1695",299176.6,4100955.5,"ARVI4","Arctostaphylos viscida",106,"center",9.2,195.6,0,0,30,44,4.3,3,2.7,"hemi 0 live","snag",NA,NA,NA,NA,0,0
"81","SOAP","Soaproot Saddle","SOAP139",297046,4100097.2,"ARVI4","Arctostaphylos viscida",378,"center",6.5,316,3.2,10,0,0,0.9,0.8,2.5,"","","Cone",65,100,"",0,0
"82","SOAP","Soaproot Saddle","SOAP143",299852.1,4100423,"ARVI4","Arctostaphylos viscida",1206,"center",9.6,61.5,NA,130,14,8,1.6,1.3,2,"3 stems","","Cone",95,100,"",0,0
"83","SOAP","Soaproot Saddle","SOAP1695",299178.7,4100970,"ARVI4","Arctostaphylos viscida",149,"center",5.7,355.9,NA,130,22,27,3.3,2,2.7,"","","Sphere",55,100,"",0,0
"84","SOAP","Soaproot Saddle","SOAP555",297112.8,4100913,"ARVI4","Arctostaphylos viscida",78,"SE",12.7,272.2,0,0,110,20,2.3,1,1,"hemi 0 live","snag",NA,NA,NA,NA,0,1
"85","SOAP","Soaproot Saddle","SOAP255",300145.3,4101387,"ARVI4","Arctostaphylos viscida",1295,"center",8.8,10.6,NA,130,55,32,3.8,3.1,3.2,"3 stems","","Cone",30,100,"",0,0
"86","SOAP","Soaproot Saddle","SOAP1695",299173.5,4100967,"ARVI4","Arctostaphylos viscida",168,"center",6.2,295.5,NA,130,10,8,2.5,1.9,2.5,"","","Sphere",100,65,"",0,0
"87","SOAP","Soaproot Saddle","SOAP255",300134.4,4101384.8,"CADE27","Calocedrus decurrens",1331,"NW",1.8,171.7,1.1,130,0,0,1.2,1,1.9,"","","",100,100,"",0,0
"88","SOAP","Soaproot Saddle","SOAP255",300153.1,4101371,"ARVI4","Arctostaphylos viscida",1256,"SE",3.8,352.4,NA,130,50,27,5.3,4.8,1.1,"6 stems","long dead","Hemisphere",0,100,"",0,0
"89","SOAP","Soaproot Saddle","SOAP1695",299171.1,4100966.8,"ARVI4","Arctostaphylos viscida",181,"center",8.3,286.2,NA,130,8,5,1.9,0.8,2,"","","Cone",70,100,"",0,0
"90","SOAP","Soaproot Saddle","SOAP1695",299170.1,4100967.5,"ARVI4","Arctostaphylos viscida",179,"NW",7.1,174.7,NA,130,5,3,0.7,0.6,0.6,"","","Cylinder",85,100,"",0,0
"91","SOAP","Soaproot Saddle","SOAP1695",299169.7,4100955,"ARVI4","Arctostaphylos viscida",102,"SW",0.7,87.4,0,0,27,36,2.4,2,2.1,"hemi 70 live","",NA,NA,NA,NA,0,1
"92","SOAP","Soaproot Saddle","SOAP1611",297438.9,4100579,"ARVI4","Arctostaphylos viscida",71,"center",7.6,311.6,0,0,18,23,1.4,2,1.4,"hemi 0 live","snag",NA,NA,NA,NA,0,0
"93","SOAP","Soaproot Saddle","SOAP1695",299182.5,4100954.2,"ARVI4","Arctostaphylos viscida",118,"SE",6.3,272.5,0,0,70,32,2.5,3,2.7,"sphere 65 live","",NA,NA,NA,NA,0,1
"94","SOAP","Soaproot Saddle","SOAP139",297047.3,4100096.2,"ARVI4","Arctostaphylos viscida",376,"center",4.8,318.4,NA,130,40,39,1.1,1.1,1.8,"7 stems","dead w branches","Sphere",100,100,"",0,0
"95","SOAP","Soaproot Saddle","SOAP1695",299187.5,4100972.5,"ARVI4","Arctostaphylos viscida",122,"center",11.7,46,NA,130,12,28,6.9,4.6,3.8,"","","Sphere",60,85,"",0,0
"96","SOAP","Soaproot Saddle","SOAP223",299303.8,4101468.8,"ARVI4","Arctostaphylos viscida",1012,"SE",4.6,359.8,10.2,10,0,0,3.6,2,1.6,"","","Cone",70,100,"",0,0
"97","SOAP","Soaproot Saddle","SOAP139",297036.5,4100090,"ARVI4","Arctostaphylos viscida",313,"SW",6.6,22.9,NA,130,13,6,0.9,0.9,1.9,"4 stems","","Cone",90,100,"",0,0
"98","SOAP","Soaproot Saddle","SOAP1343",299599.5,4100980.5,"ARVI4","Arctostaphylos viscida",785,"center",8.9,13.8,NA,130,140,80,3.4,2.9,2.7,"6 stems","","Hemisphere",30,100,"",0,0
"99","SOAP","Soaproot Saddle","SOAP1563",297696.9,4101219.2,"ARVI4","Arctostaphylos viscida",29,"center",6.3,231.9,0,0,28,30,2.4,3,1.2,"hemisphere 20 dead f108","",NA,NA,NA,NA,0,0
"100","SOAP","Soaproot Saddle","SOAP223",299301.2,4101476.5,"ARVI4","Arctostaphylos viscida",1018,"center",7.4,69.3,NA,130,8,3,1.3,1.2,1.3,"2 stems","","Cone",40,100,"",0,0
"101","SOAP","Soaproot Saddle","SOAP1515",297514.5,4101252.2,"ARVI4","Arctostaphylos viscida",4,"center",8,129.7,10.5,1,11,10,2.5,1.5,1.6,"","","Hemisphere",95,100,"",0,0
"102","SOAP","Soaproot Saddle","SOAP1515",297514,4101249,"ARVI4","Arctostaphylos viscida",6,"center",10.1,145.9,17,1,20,16,3.1,2.3,2.2,"1 stem","","Hemisphere",75,100,"",0,0
"103","SOAP","Soaproot Saddle","SOAP1515",297514.1,4101250,"ARVI4","Arctostaphylos viscida",5,"center",9.3,141.5,NA,130,117,38,5.4,4.3,3.4,"5 stems (ddh's = 18.1; 8.7; 8.8; 32.5; 15.4)","","Hemisphere",60,100,"",0,0
"104","SOAP","Soaproot Saddle","SOAP283",297772.4,4101207.5,"ARVI4","Arctostaphylos viscida",47,"center",2.2,266.3,0,0,8,3,0.4,0,0.6,"cone 95 live","",NA,NA,NA,NA,0,0
"105","SOAP","Soaproot Saddle","SOAP143",299836.7,4100409,"ARVI4","Arctostaphylos viscida",1151,"center",11.9,216.2,NA,130,31,6,0.6,0.3,0.8,"5 stems","","Cylinder",100,100,"",0,0
"106","SOAP","Soaproot Saddle","SOAP1695",299184.4,4100954.5,"ARVI4","Arctostaphylos viscida",117,"SE",4.4,274.8,0,0,25,27,3.7,3,2.6,"f143 hemi 70 live","",NA,NA,NA,NA,0,1
"107","SOAP","Soaproot Saddle","SOAP1695",299178.3,4100957,"ARVI4","Arctostaphylos viscida",107,"center",7.5,186.6,0,0,32,13,3.5,2,2.5,"sphere 30 live","",NA,NA,NA,NA,0,0
"108","SOAP","Soaproot Saddle","SOAP1695",299183.4,4100963.5,"ARVI4","Arctostaphylos viscida",120,"center",4.4,101.3,0,0,10,6,1.3,2,1.5,"sphere 90 live","",NA,NA,NA,NA,0,0
"109","SOAP","Soaproot Saddle","SOAP1343",299598,4100976.8,"ARVI4","Arctostaphylos viscida",786,"center",4.8,7.1,NA,130,50,47,5.1,4.7,3.1,"7 stems","","Sphere",70,100,"f135",0,0
"110","SOAP","Soaproot Saddle","SOAP1515",297514.9,4101262,"ARVI4","Arctostaphylos viscida",12,"center",8.1,54.4,24,1,23,20,3.4,2.8,2.4,"1 stem","many brown lvs","Sphere",85,100,"",0,0
"111","SOAP","Soaproot Saddle","SOAP139",297037.1,4100087,"ARVI4","Arctostaphylos viscida",315,"SW",4.5,44.2,22.7,10,0,0,0.8,0.6,1.3,"","","Cone",100,90,"",0,0
"112","SOAP","Soaproot Saddle","SOAP1515",297515.3,4101264.2,"ARVI4","Arctostaphylos viscida",16,"center",9.7,45.8,NA,130,32,28,3.1,1.8,1.7,"8 stems (ddh's = 4.5; 4.6; 5.0; 3.3; 4.8; 2.2; 2.4; 3.0)","","Cone",80,100,"",0,0
"113","SOAP","Soaproot Saddle","SOAP1515",297517.1,4101265.5,"ARVI4","Arctostaphylos viscida",18,"NE",2.6,221.7,NA,130,32,30,3.1,2,1.7,"15 stems (dba's = 4.2; 5.1; 4.3; 2.5; 3.5; 1.9; 3.2; 2.5; 4.3; 5.1; 4.5; 3.3; 4.6; 5.0; 4.5)","","Hemisphere",40,100,"",0,0
"114","SOAP","Soaproot Saddle","SOAP143",299837,4100411.5,"ARVI4","Arctostaphylos viscida",137,"center",9.8,223.1,NA,130,16,9,0.9,0.8,0.9,"3 stems","","Hemisphere",100,100,"",0,0
"115","SOAP","Soaproot Saddle","SOAP1515",297517.6,4101264.5,"ARVI4","Arctostaphylos viscida",19,"NE",3,205.3,NA,130,21,24,2.1,1.8,1.7,"5 stems (dba's = 6.8; 8.3; 1.8; 4.1; 4.5)","","Cone",95,100,"",0,0
"116","SOAP","Soaproot Saddle","SOAP223",299300.6,4101480,"ARVI4","Arctostaphylos viscida",1020,"center",8.8,46.4,1.1,10,0,0,0.3,0.2,0.5,"","","Cone",100,100,"",0,0
"117","SOAP","Soaproot Saddle","SOAP1611",297449.9,4100581,"ARVI4","Arctostaphylos viscida",69,"center",8.9,36.7,0,0,36,28,1.4,2,0.6,"hemi 0 live","snag",NA,NA,NA,NA,0,0
"118","SOAP","Soaproot Saddle","SOAP139",297055.3,4100083,"ARVI4","Arctostaphylos viscida",322,"center",10.9,153.7,NA,130,60,30,3.4,3,2.8,"4 stems","dead w branches","Cone",0,100,"",0,1
"119","SOAP","Soaproot Saddle","SOAP1515",297514.4,4101247.8,"ARVI4","Arctostaphylos viscida",8,"SE",3.7,274.9,5.9,1,12,3,1.3,1,1.8,"1 stem","","Cone",90,100,"",0,1
"120","SOAP","Soaproot Saddle","SOAP1695",299177.6,4100958.2,"ARVI4","Arctostaphylos viscida",105,"center",6.4,193.8,0,0,15,18,1,1,1.6,"0 live hemi","snag",NA,NA,NA,NA,0,0
"121","SOAP","Soaproot Saddle","SOAP139",297039.8,4100096.5,"ARVI4","Arctostaphylos viscida",377,"SW",14.1,24.4,NA,130,20,21,0.7,0.8,1.8,"4 stems","dead w branches","Sphere",0,100,"",0,0
"122","SOAP","Soaproot Saddle","SOAP143",299838.3,4100410.5,"ARVI4","Arctostaphylos viscida",1144,"center",9.6,214.3,1.4,10,0,0,0.7,0.4,0.6,"","","Hemisphere",100,100,"",0,0
